feature_1,feature_2,dependency
MAX_IP_PKT_LEN,ICMP_TYPE,0.23867232297670585
LONGEST_FLOW_PKT,ICMP_TYPE,0.23867232297670585
SRC_TO_DST_SECOND_BYTES,RETRANSMITTED_IN_PKTS,0.23680341161629873
LONGEST_FLOW_PKT,NUM_PKTS_UP_TO_128_BYTES,0.2362883627445626
MAX_IP_PKT_LEN,NUM_PKTS_UP_TO_128_BYTES,0.2362883627445626
LONGEST_FLOW_PKT,RETRANSMITTED_IN_BYTES,0.23450349845825838
MAX_IP_PKT_LEN,RETRANSMITTED_IN_BYTES,0.23450349845825838
MAX_IP_PKT_LEN,RETRANSMITTED_IN_PKTS,0.2338026825440447
LONGEST_FLOW_PKT,RETRANSMITTED_IN_PKTS,0.2338026825440447
MAX_TTL,NUM_PKTS_1024_TO_1514_BYTES,0.2319318163640983
MIN_TTL,NUM_PKTS_1024_TO_1514_BYTES,0.23159140765164316
CLIENT_TCP_FLAGS,MIN_IP_PKT_LEN,0.2302945490276335
IN_BYTES,RETRANSMITTED_OUT_BYTES,0.22756352707963412
IN_BYTES,RETRANSMITTED_OUT_PKTS,0.22530059345471748
RETRANSMITTED_OUT_PKTS,TCP_WIN_MAX_IN,0.22483203364751225
RETRANSMITTED_OUT_BYTES,DST_TO_SRC_AVG_THROUGHPUT,0.22453163922732555
RETRANSMITTED_OUT_PKTS,DST_TO_SRC_AVG_THROUGHPUT,0.22383500594400849
RETRANSMITTED_OUT_BYTES,TCP_WIN_MAX_IN,0.22312610864623766
DURATION_OUT,NUM_PKTS_512_TO_1024_BYTES,0.22096016961665116
MIN_IP_PKT_LEN,NUM_PKTS_256_TO_512_BYTES,0.22006296489504595
L7_PROTO,IN_PKTS,0.22004444054939007
IN_PKTS,ICMP_IPV4_TYPE,0.21996570693542764
IN_PKTS,ICMP_TYPE,0.21996568469287966
MIN_IP_PKT_LEN,TCP_WIN_MAX_IN,0.21872842568259354
CLIENT_TCP_FLAGS,RETRANSMITTED_OUT_PKTS,0.21750089272974593
DURATION_IN,NUM_PKTS_128_TO_256_BYTES,0.2172984905785923
CLIENT_TCP_FLAGS,RETRANSMITTED_OUT_BYTES,0.21680539098647023
CLIENT_TCP_FLAGS,RETRANSMITTED_IN_BYTES,0.2166494882280841
CLIENT_TCP_FLAGS,RETRANSMITTED_IN_PKTS,0.2151126204044871
MAX_TTL,DST_TO_SRC_SECOND_BYTES,0.21434520537191692
TCP_FLAGS,RETRANSMITTED_OUT_PKTS,0.21412187642440006
TCP_FLAGS,RETRANSMITTED_OUT_BYTES,0.21411956318237005
MIN_TTL,DST_TO_SRC_SECOND_BYTES,0.21396738220605582
RETRANSMITTED_IN_PKTS,SRC_TO_DST_AVG_THROUGHPUT,0.21282424750672635
SRC_TO_DST_AVG_THROUGHPUT,ICMP_TYPE,0.211412504619438
SRC_TO_DST_AVG_THROUGHPUT,ICMP_IPV4_TYPE,0.21141249493009717
RETRANSMITTED_IN_BYTES,SRC_TO_DST_AVG_THROUGHPUT,0.21116767523907715
IN_BYTES,DURATION_OUT,0.2111592455257251
OUT_PKTS,MAX_TTL,0.20826099634497763
OUT_BYTES,MAX_TTL,0.20822662532439937
IN_PKTS,FLOW_DURATION_MILLISECONDS,0.20796743299589598
OUT_PKTS,MIN_TTL,0.20785850707870185
OUT_BYTES,MIN_TTL,0.20785201070732298
